organization_name,organization_entity_type,organization_tax_id,organization_street_address_1,organization_city,organization_county,organization_state_province,organization_country,organization_postal_code,organization_phone,organization_email,organization_website,organization_mission_statement,organization_executive_administrator,organization_executive_administrator_title,proposal_date,proposal_name,proposal_focus,proposal_type,proposal_summary,proposal_primary_contact_name,proposal_primary_contact_title,proposal_primary_contact_phone,proposal_primary_contact_email,proposal_amount_requested,proposal_start_date,proposal_end_date,proposal_submitter_email,proposal_submitter_name
Green Vancouver Initiative,Nonprofit,123456789,"123 Green St, Suite 200",Vancouver,Greater Vancouver,British Columbia,Canada,V6B 2M4,604-123-4567,info@gvi.org,www.gvi.org,Promoting environmental sustainability in Vancouver.,Amelia Chen,Executive Director,2023-04-15,EcoVan,Urban Greening and Sustainability Program,Grant,Implementing urban greening projects to enhance sustainability and livability in Vancouver.,Nathan Patel,Sustainability Director,604-123-4568,nathan.patel@gvi.org,"CAD $200,000",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Montreal Youth Empowerment,Nonprofit,987654321,"456 Empowerment Blvd, 3rd Floor",Montreal,Montreal,Quebec,Canada,H2X 1K4,514-987-6543,contact@mye.org,www.mye.org,Empowering youth in Montreal through education and mentorship.,Isabella Tremblay,CEO,2023-03-20,YouthPowerMTL,Youth Empowerment and Leadership Program,Grant,Developing programs to empower and develop leadership skills in Montreal's youth.,Liam Gagnon,Youth Program Manager,514-987-6544,liam.gagnon@mye.org,"CAD $250,000",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Toronto Health Network,Nonprofit,135792468,"789 Health Ave, Unit 10",Toronto,Toronto,Ontario,Canada,M5V 2B7,416-246-8102,info@thn.org,www.thn.org,Improving access to healthcare in Toronto's underserved communities.,Elijah Singh,Director,2023-02-25,HealthTO,Community Health Access Program,Grant,Expanding healthcare services and access in underserved areas of Toronto.,Mia Dubois,Health Program Manager,416-246-8103,mia.dubois@thn.org,"CAD $300,000",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Calgary Arts Foundation,Nonprofit,246810135,"123 Culture St, Suite 450",Calgary,Calgary,Alberta,Canada,T2P 3N4,403-135-2468,contact@caf.org,www.caf.org,Supporting the arts and cultural engagement in Calgary.,Ava Moreau,Executive Director,2023-01-30,ArtCalgary,Community Arts and Culture Program,Grant,Developing arts and cultural programs to enrich the Calgary community.,Noah Beauchamp,Arts Program Manager,403-135-2469,noah.beauchamp@caf.org,"CAD $250,000",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Edmonton Environmental Alliance,Nonprofit,864209753,"456 Eco Park Rd, 2nd Floor",Edmonton,Edmonton,Alberta,Canada,T5J 3E6,780-209-8642,info@eea.org,www.eea.org,Promoting environmental action and sustainability in Edmonton.,Sophia Lavoie,CEO,2023-03-15,EcoEdmonton,Environmental Action and Awareness Program,Grant,Implementing environmental action and awareness programs to promote sustainability in Edmonton.,Jackson Fortin,Environmental Program Director,780-209-8643,jackson.fortin@eea.org,"CAD $280,000",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Winnipeg Water Warriors,Nonprofit,987456321,"789 River St, Unit 300",Winnipeg,Winnipeg,Manitoba,Canada,R3B 2E4,204-987-4563,info@www.org,www.www.org,Protecting water resources and promoting conservation in Winnipeg.,Amelia Boucher,Executive Director,2023-04-20,WaterWin,Water Conservation and Protection Program,Grant,Implementing water conservation projects to protect and preserve Winnipeg's water resources.,Nathan Girard,Water Program Manager,204-987-4564,nathan.girard@www.org,"CAD $220,000",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Ottawa Community Outreach,Nonprofit,369852147,"456 Community St, Suite 500",Ottawa,Ottawa,Ontario,Canada,K1N 1C9,613-369-8520,contact@oco.org,www.oco.org,Enhancing community well-being and support services in Ottawa.,Isabella Morin,CEO,2023-03-25,OutreachOttawa,Community Support and Outreach Program,Grant,Developing outreach and support programs to address community needs in Ottawa.,Liam Tremblay,Community Program Director,613-369-8521,liam.tremblay@oco.org,"CAD $270,000",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Vancouver Green Spaces,Nonprofit,741258963,"123 Park Ave, 4th Floor",Vancouver,Greater Vancouver,British Columbia,Canada,V6B 2T4,604-741-2580,info@vgs.org,www.vgs.org,Promoting the development and preservation of green spaces in Vancouver.,Elijah Chen,Director,2023-02-30,GreenVancouver,Urban Green Space Development Program,Grant,Supporting the creation and maintenance of green spaces to enhance Vancouver's urban environment.,Mia Lau,Green Space Coordinator,604-741-2581,mia.lau@vgs.org,"CAD $290,000",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Montreal Mental Health Initiative,Nonprofit,852963741,"789 Wellness Blvd, 7th Floor",Montreal,Montreal,Quebec,Canada,H3B 3M8,514-852-9630,contact@mmhi.org,www.mmhi.org,Improving mental health services and awareness in Montreal.,Ava Gagnon,Executive Director,2023-01-25,MindMontreal,Mental Health Awareness and Support Program,Grant,Launching programs to increase mental health awareness and provide support services in Montreal.,Noah Lefebvre,Mental Health Program Manager,514-852-9631,noah.lefebvre@mmhi.org,"CAD $310,000",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Calgary Climate Coalition,Nonprofit,963741852,"456 Climate Rd, Suite 600",Calgary,Calgary,Alberta,Canada,T2P 4R5,403-963-7410,info@ccc.org,www.ccc.org,Advancing climate action and sustainability in Calgary.,Sophia Bergeron,CEO,2023-03-20,ClimateCalgary,Climate Action and Sustainability Initiative,Grant,Implementing initiatives to promote climate action and sustainability in Calgary.,Jackson Pelletier,Climate Program Director,403-963-7411,jackson.pelletier@ccc.org,"CAD $280,000",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Sustainable Berlin Initiative,Nonprofit,DE123456789,"123 Green Way, 3rd Floor",Berlin,,Berlin,Germany,10115,+49-30-1234567,info@sbi.org,www.sbi.org,Promoting sustainability and environmental innovation in Berlin.,Amelia Schmidt,Executive Director,2023-04-25,EcoBerlin,Urban Sustainability and Innovation Program,Grant,Implementing sustainable urban development projects to enhance environmental innovation in Berlin.,Nathan Müller,Sustainability Director,+49-30-1234568,nathan.müller@sbi.org,"€200,000",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Paris Youth Network,Nonprofit,FR987654321,"456 Empowerment Blvd, 5th Floor",Paris,,Île-de-France,France,75008,+33-1-9876543,contact@pyn.org,www.pyn.org,Empowering youth in Paris through education and mentorship.,Isabella Dubois,CEO,2023-03-30,YouthEmpowerParis,Youth Empowerment and Mentorship Program,Grant,Developing mentorship and education programs for youth in Paris to foster personal and professional growth.,Liam Bernard,Youth Program Manager,+33-1-9876544,liam.bernard@pyn.org,"€250,000",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Rome Cultural Heritage,Nonprofit,IT135792468,"789 History St, 2nd Floor",Rome,,Lazio,Italy,184,+39-06-1357924,info@rch.org,www.rch.org,Preserving and promoting cultural heritage in Rome.,Elijah Rossi,Director,2023-02-20,HeritageRome,Cultural Heritage Preservation Program,Grant,Supporting projects to preserve and promote Rome's rich cultural heritage and historical sites.,Mia Bianchi,Cultural Program Manager,+39-06-1357925,mia.bianchi@rch.org,"€300,000",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Madrid Environmental Alliance,Nonprofit,ES246810135,"123 Eco Ave, 4th Floor",Madrid,,Community of Madrid,Spain,28004,+34-91-2468101,contact@mea.org,www.mea.org,Advancing environmental action and sustainability in Madrid.,Ava López,Executive Director,2023-01-15,EcoMadrid,Urban Environmental Action Program,Grant,Implementing environmental initiatives to promote sustainability and improve quality of life in Madrid.,Noah García,Environmental Program Director,+34-91-2468102,noah.garcía@mea.org,"€280,000",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Athens Health Foundation,Nonprofit,GR852963741,"456 Wellness Rd, Suite 300",Athens,,Attica,Greece,10431,+30-21-0852963,info@ahf.org,www.ahf.org,Improving public health and wellness in Athens.,Sophia Papadopoulos,CEO,2023-03-10,HealthAthens,Public Health Improvement Initiative,Grant,Launching initiatives to improve public health and wellness in the Athens community.,Jackson Christou,Public Health Director,+30-21-0852964,jackson.christou@ahf.org,"€310,000",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Vienna Green Initiative,Nonprofit,AT987654321,"123 Parkstrasse, 6th Floor",Vienna,,Vienna,Austria,1010,+43-1-9876543,info@vgi.org,www.vgi.org,Promoting urban green spaces and sustainability in Vienna.,Amelia Fischer,Executive Director,2023-04-20,GreenVienna,Urban Greening and Sustainability Program,Grant,Implementing projects to enhance green spaces and promote sustainability in Vienna.,Nathan Weber,Sustainability Manager,+43-1-9876544,nathan.weber@vgi.org,"€210,000",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Copenhagen Youth Empowerment,Nonprofit,DK135792468,"456 Ungdomsvej, 2nd Floor",Copenhagen,,Capital Region,Denmark,2100,+45-13-579246,contact@cyd.org,www.cyd.org,Empowering youth in Copenhagen through education and leadership development.,Isabella Møller,CEO,2023-03-25,YouthPowerCPH,Youth Empowerment and Leadership Program,Grant,Developing programs to empower youth and develop leadership skills in Copenhagen.,Liam Nielsen,Youth Program Director,+45-13-579247,liam.nielsen@cyd.org,"DKK 1,500,000",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Stockholm Clean Air Project,Nonprofit,SE246810135,"789 Luftvägen, 3rd Floor",Stockholm,,Stockholm,Sweden,111 53,+46-8-2468101,info@scap.org,www.scap.org,Improving air quality and promoting clean air initiatives in Stockholm.,Elijah Svensson,Director,2023-02-15,AirStockholm,Clean Air and Environmental Health Program,Grant,Implementing initiatives to improve air quality and promote environmental health in Stockholm.,Mia Johansson,Environmental Health Manager,+46-8-2468102,mia.johansson@scap.org,"SEK 2,200,000",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Lisbon Community Development,Nonprofit,PT852963741,"123 Desenvolvimento St, Suite 400",Lisbon,,Lisbon,Portugal,1200-001,+351-21-0852963,contact@lcd.org,www.lcd.org,Promoting community development and social inclusion in Lisbon.,Ava Silva,Executive Director,2023-01-10,DevelopLisbon,Community Development and Social Inclusion Program,Grant,Developing programs to enhance community development and social inclusion in Lisbon.,Noah Santos,Community Program Manager,+351-21-0852964,noah.santos@lcd.org,"€230,000",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Brussels Environmental Network,Nonprofit,BE963741852,"456 Environ Rue, 5th Floor",Brussels,,Brussels-Capital,Belgium,1000,+32-2-9637410,info@ben.org,www.ben.org,Advancing environmental sustainability and conservation in Brussels.,Sophia Dubois,CEO,2023-03-15,EcoBrussels,Environmental Sustainability Program,Grant,Implementing projects to promote environmental sustainability and conservation in Brussels.,Liam Martin,Environmental Program Director,+32-2-9637411,liam.martin@ben.org,"€250,000",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Amazon Conservation Network,Nonprofit,BR123456789,"123 Floresta St, Sala 300",Manaus,,Amazonas,Brazil,69067-375,+55-92-1234-5678,info@acn.org,www.acn.org,Protecting the Amazon rainforest and its biodiversity.,Amelia Costa,Executive Director,2023-04-15,SaveAmazon,Amazon Rainforest Conservation Program,Grant,Implementing conservation projects to protect the Amazon rainforest and its diverse ecosystems.,Nathan Silva,Conservation Manager,+55-92-1234-5679,nathan.silva@acn.org,"R$500,000",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Buenos Aires Youth Initiative,Nonprofit,AR987654321,"456 Juventud Ave, Piso 4",Buenos Aires,,Buenos Aires,Argentina,C1049AAB,+54-11-9876-5432,contact@bayi.org,www.bayi.org,Empowering youth in Buenos Aires through education and leadership development.,Isabella Gómez,CEO,2023-03-20,YouthPowerBA,Youth Empowerment and Leadership Program,Grant,Developing programs to empower and develop leadership skills in Buenos Aires's youth.,Liam Martínez,Youth Program Director,+54-11-9876-5433,liam.martinez@bayi.org,"ARS 2,000,000",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Lima Clean Water Project,Nonprofit,PE135792468,"789 Agua St, Oficina 200",Lima,,Lima,Peru,LIMA 18,+51-1-3579-2468,info@lcwp.org,www.lcwp.org,Ensuring access to clean water and sanitation for communities in Lima.,Elijah Vásquez,Director,2023-02-25,AquaLima,Clean Water and Sanitation Program,Grant,Expanding access to clean water and sanitation in underserved communities in Lima.,Mia López,Water Program Manager,+51-1-3579-2469,mia.lopez@lcwp.org,"S/.300,000",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Santiago Environmental Alliance,Nonprofit,CL246810135,"123 Medioambiente St, Piso 5",Santiago,,Santiago,Chile,8320000,+56-2-2468-1013,contact@sea.org,www.sea.org,Promoting environmental sustainability and conservation in Santiago.,Ava Fernández,Executive Director,2023-01-30,EcoSantiago,Urban Environmental Action Program,Grant,Implementing environmental initiatives to promote sustainability in Santiago.,Liam González,Environmental Program Director,+56-2-2468-1014,liam.gonzalez@sea.org,"CLP 150,000,000",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Caracas Community Development,Nonprofit,VE852963741,"456 Desarrollo St, Torre 3",Caracas,,Distrito Capital,Venezuela,1010,+58-212-8529637,info@ccd.org,www.ccd.org,Enhancing community development and social inclusion in Caracas.,Sophia Pérez,CEO,2023-03-10,DevelopCaracas,Community Development and Social Inclusion Program,Grant,Developing programs to enhance community development and social inclusion in Caracas.,Noah Rodríguez,Community Program Manager,+58-212-8529638,noah.rodriguez@ccd.org,"VEF 500,000,000",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Rio de Janeiro Green Spaces,Nonprofit,BR159753486,"123 Verde St, Sala 400",Rio de Janeiro,,Rio de Janeiro,Brazil,20031-050,+55-21-1597-5348,info@rjgs.org,www.rjgs.org,Promoting urban green spaces and sustainability in Rio de Janeiro.,Amelia Silva,Executive Director,2023-04-20,VerdeRio,Urban Greening and Sustainability Program,Grant,Developing urban greening projects to enhance sustainability and livability in Rio de Janeiro.,Nathan Costa,Sustainability Manager,+55-21-1597-5349,nathan.costa@rjgs.org,"R$450,000",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Bogotá Educational Initiative,Nonprofit,CO864159753,"456 Educación St, Piso 5",Bogotá,,Bogotá,Colombia,110321,+57-1-8641-5975,contact@bei.org,www.bei.org,Enhancing education and learning opportunities in Bogotá.,Isabella Gutiérrez,CEO,2023-03-25,EduBogotá,Educational Development Program,Grant,Implementing educational programs to improve access and quality of education in Bogotá.,Elena Rodríguez,Education Program Director,+57-1-8641-5976,elena.rodriguez@bei.org,"COP 800,000,000",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Quito Environmental Alliance,Nonprofit,EC135246879,"789 Ambiente St, Oficina 300",Quito,,Pichincha,Ecuador,170150,+593-2-1352-4687,info@qea.org,www.qea.org,Promoting environmental conservation and sustainability in Quito.,Elijah Moreno,Director,2023-02-15,EcoQuito,Environmental Conservation Program,Grant,Supporting conservation efforts to protect Quito's natural environment and promote sustainability.,Mia Sánchez,Environmental Program Manager,+593-2-1352-4688,mia.sanchez@qea.org,"USD $250,000",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Recife Clean Water Project,Nonprofit,BR246879135,"123 Água St, Sala 200",Recife,,Pernambuco,Brazil,50030-230,+55-81-2468-7913,contact@rcwp.org,www.rcwp.org,Ensuring access to clean water and sanitation in Recife.,Ava Pereira,Executive Director,2023-01-20,AquaRecife,Clean Water Access Program,Grant,Expanding access to clean water and improving sanitation in underserved communities in Recife.,Daniel Lima,Water Program Director,+55-81-2468-7914,daniel.lima@rcwp.org,"R$350,000",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Santiago Community Development,Nonprofit,CL963852147,"456 Desarrollo St, Torre 2",Santiago,,Santiago,Chile,8320000,+56-2-9638-5214,info@scd.org,www.scd.org,Enhancing community development and social inclusion in Santiago.,Amelia Fernández,CEO,2023-03-10,DevelopSantiago,Community Development and Social Inclusion Program,Grant,Developing programs to enhance community development and social inclusion in Santiago.,Elena González,Community Program Manager,+56-2-9638-5215,elena.gonzalez@scd.org,"CLP 200,000,000",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Denver Food Access Network,Nonprofit,US123456789,"123 Nutrition Ln, Suite 250",Denver,Denver,Colorado,United States,80202,303-123-4567,info@dfan.org,www.dfan.org,Improving access to nutritious food in Denver.,Amelia Thompson,Executive Director,2023-04-25,Food4Denver,Nutrition and Food Access Program,Grant,Implementing programs to improve access to nutritious food and address food insecurity in Denver.,Elena Martinez,Food Program Manager,303-123-4568,elena.martinez@dfan.org,"$200,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Miami Coastal Conservation,Nonprofit,US987654321,"456 Ocean Dr, 3rd Floor",Miami,Miami-Dade,Florida,United States,33139,305-987-6543,contact@mcc.org,www.mcc.org,Protecting Miami's coastal ecosystems and marine life.,Isabella Rodriguez,CEO,2023-03-30,CoastalCare,Coastal Ecosystem Conservation Program,Grant,Developing conservation projects to protect Miami's coastal ecosystems and marine biodiversity.,Elijah Sanchez,Conservation Director,305-987-6544,elijah.sanchez@mcc.org,"$250,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Phoenix Urban Renewal,Nonprofit,US135792468,"789 City St, 4th Floor",Phoenix,Maricopa,Arizona,United States,85004,602-135-7924,info@pur.org,www.pur.org,Revitalizing urban areas and promoting sustainable development in Phoenix.,Elena Johnson,Director,2023-02-20,RenewPhoenix,Urban Renewal and Sustainability Program,Grant,Implementing urban renewal projects to enhance sustainability and livability in Phoenix.,Daniel Garcia,Urban Development Manager,602-135-7925,daniel.garcia@pur.org,"$300,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Atlanta Literacy Initiative,Nonprofit,US246810135,"123 Book Blvd, Suite 350",Atlanta,Fulton,Georgia,United States,30303,404-246-8101,contact@ali.org,www.ali.org,Promoting literacy and education in underserved communities in Atlanta.,Ava Brown,Executive Director,2023-01-15,ReadATL,Literacy and Education Outreach Program,Grant,Developing literacy and education outreach programs to improve access to education in Atlanta.,Elijah Martinez,Education Program Director,404-246-8102,elijah.martinez@ali.org,"$250,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Houston Green Spaces,Nonprofit,US864209753,"456 Park Ave, 2nd Floor",Houston,Harris,Texas,United States,77002,713-864-2097,info@hgs.org,www.hgs.org,Enhancing green spaces and promoting environmental awareness in Houston.,Amelia Gonzalez,CEO,2023-03-15,GreenHouston,Urban Greening and Environmental Program,Grant,Supporting the creation and maintenance of green spaces to improve environmental awareness in Houston.,Elena Lopez,Environmental Program Manager,713-864-2098,elena.lopez@hgs.org,"$280,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Seattle Mental Health Network,Nonprofit,US159753486,"123 Wellness Way, Suite 400",Seattle,King,Washington,United States,98104,206-159-7534,info@smhn.org,www.smhn.org,Improving mental health services and awareness in Seattle.,Amelia Martin,Executive Director,2023-04-20,MindSeattle,Mental Health Services Program,Grant,Expanding mental health services and awareness programs to support the Seattle community.,Elena Wong,Mental Health Director,206-159-7535,elena.wong@smhn.org,"$210,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Chicago Youth Sports Initiative,Nonprofit,US987159753,"456 Play St, 5th Floor",Chicago,Cook,Illinois,United States,60607,312-987-1597,contact@cysi.org,www.cysi.org,Promoting youth development through sports and physical activity in Chicago.,Isabella Clark,CEO,2023-03-25,PlayChicago,Youth Sports and Recreation Program,Grant,Developing sports and recreation programs for Chicago's youth to foster physical activity and teamwork.,Elijah Thompson,Youth Sports Director,312-987-1598,elijah.thompson@cysi.org,"$250,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Los Angeles Environmental Coalition,Nonprofit,US246753159,"789 Eco Blvd, 6th Floor",Los Angeles,Los Angeles,California,United States,90013,213-246-7531,info@laec.org,www.laec.org,Advancing environmental sustainability and conservation in Los Angeles.,Ava Sanchez,Director,2023-02-15,GreenLA,Environmental Sustainability Program,Grant,Implementing sustainability projects to promote environmental conservation in Los Angeles.,Daniel Patel,Environmental Program Manager,213-246-7532,daniel.patel@laec.org,"$280,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
New York City Housing Initiative,Nonprofit,US753159246,"123 Affordable St, Suite 500",New York,New York,New York,United States,10010,212-753-1592,contact@nych.org,www.nych.org,Improving access to affordable housing in New York City.,Elena Rodriguez,Executive Director,2023-01-10,HomesNYC,Affordable Housing Development Program,Grant,Developing affordable housing projects to increase access to safe and affordable homes in New York City.,Elijah Morales,Housing Program Director,212-753-1593,elijah.morales@nych.org,"$300,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Boston Community Arts Program,Nonprofit,US159246753,"456 Creative Ave, 3rd Floor",Boston,Suffolk,Massachusetts,United States,02111,617-159-2467,info@bcap.org,www.bcap.org,Promoting arts and culture in the Boston community.,Amelia Edwards,CEO,2023-03-05,ArtBoston,Community Arts and Cultural Engagement Program,Grant,Supporting arts and cultural programs to enrich the Boston community and promote artistic expression.,Elena Martinez,Arts Program Manager,617-159-2468,elena.martinez@bcap.org,"$230,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Philadelphia Green Initiative,Nonprofit,US753486159,"123 Eco Way, Suite 300",Philadelphia,Philadelphia,Pennsylvania,United States,19104,215-753-4861,info@pgi.org,www.pgi.org,Promoting urban sustainability and green initiatives in Philadelphia.,Amelia Johnson,Executive Director,2023-04-15,GreenPhilly,Urban Sustainability and Greening Program,Grant,Implementing urban greening projects to enhance sustainability and livability in Philadelphia.,Elena Thompson,Sustainability Manager,215-753-4862,elena.thompson@pgi.org,"$220,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Dallas Community Outreach,Nonprofit,US159753864,"456 Outreach Dr, 4th Floor",Dallas,Dallas,Texas,United States,75201,214-159-7538,contact@dco.org,www.dco.org,Enhancing community well-being and support services in Dallas.,Isabella Martinez,CEO,2023-03-20,OutreachDallas,Community Support and Outreach Program,Grant,Developing outreach and support programs to address community needs in Dallas.,Elijah Hernandez,Community Program Director,214-159-7539,elijah.hernandez@dco.org,"$250,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
San Francisco Clean Air Project,Nonprofit,US864753159,"789 Air St, Suite 400",San Francisco,San Francisco,California,United States,94103,415-864-7531,info@sfcap.org,www.sfcap.org,Improving air quality and promoting clean air initiatives in San Francisco.,Ava Wong,Director,2023-02-10,AirSF,Clean Air and Environmental Health Program,Grant,Implementing initiatives to improve air quality and promote environmental health in San Francisco.,Daniel Chen,Environmental Health Director,415-864-7532,daniel.chen@sfcap.org,"$280,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Seattle Housing Alliance,Nonprofit,US246159753,"123 Affordable Ln, 2nd Floor",Seattle,King,Washington,United States,98104,206-246-1597,contact@sha.org,www.sha.org,Improving access to affordable housing in Seattle.,Elena Roberts,Executive Director,2023-01-05,HomesSeattle,Affordable Housing Development Program,Grant,Developing affordable housing projects to increase access to safe and affordable homes in Seattle.,Elijah Lee,Housing Program Manager,206-246-1598,elijah.lee@sha.org,"$300,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Atlanta Environmental Network,Nonprofit,US753864159,"456 Green St, 3rd Floor",Atlanta,Fulton,Georgia,United States,30303,404-753-8641,info@aen.org,www.aen.org,Advancing environmental sustainability and conservation in Atlanta.,Amelia Brown,CEO,2023-03-10,GreenAtlanta,Environmental Sustainability Program,Grant,Implementing sustainability projects to promote environmental conservation in Atlanta.,Elena Davis,Environmental Program Director,404-753-8642,elena.davis@aen.org,"$260,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Portland Food Equity Network,Nonprofit,US159753486,"123 Harvest Ln, Suite 200",Portland,Multnomah,Oregon,United States,97201,503-159-7534,info@pfen.org,www.pfen.org,Promoting food equity and access to nutritious food in Portland.,Isabella Johnson,Executive Director,2023-04-10,Food4Portland,Food Equity and Access Program,Grant,Implementing programs to ensure food equity and improve access to nutritious food in Portland.,Elena Martinez,Food Program Manager,503-159-7535,elena.martinez@pfen.org,"$200,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Detroit Community Development,Nonprofit,US987753159,"456 Revitalization St, 4th Floor",Detroit,Wayne,Michigan,United States,48201,313-987-7531,contact@dcd.org,www.dcd.org,Enhancing community development and well-being in Detroit.,Isabella Clark,CEO,2023-03-15,DevelopDetroit,Community Development Program,Grant,Developing programs to enhance community development and well-being in Detroit.,Elijah Thompson,Community Program Director,313-987-7532,elijah.thompson@dcd.org,"$250,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
San Diego Coastal Preservation,Nonprofit,US864159753,"789 Ocean Blvd, Suite 300",San Diego,San Diego,California,United States,92101,619-864-1597,info@sdcp.org,www.sdcp.org,Protecting San Diego's coastal ecosystems and marine life.,Ava Martinez,Director,2023-02-05,CoastalSD,Coastal Ecosystem Preservation Program,Grant,Developing preservation projects to protect San Diego's coastal ecosystems and marine biodiversity.,Daniel Hernandez,Conservation Manager,619-864-1598,daniel.hernandez@sdcp.org,"$280,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Boston Educational Alliance,Nonprofit,US753486159,"123 Learning Way, 5th Floor",Boston,Suffolk,Massachusetts,United States,02108,617-753-4861,contact@bea.org,www.bea.org,Promoting educational opportunities and equity in Boston.,Elena Williams,Executive Director,2023-01-20,EduBoston,Educational Equity and Access Program,Grant,Implementing programs to promote educational equity and increase access to education in Boston.,Elijah Lee,Education Program Manager,617-753-4862,elijah.lee@bea.org,"$230,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Phoenix Green Initiative,Nonprofit,US159864753,"456 Sustainability St, 2nd Floor",Phoenix,Maricopa,Arizona,United States,85003,602-159-8647,info@pgi.org,www.pgi.org,Advancing urban sustainability and environmental awareness in Phoenix.,Isabella Rodriguez,CEO,2023-03-05,GreenPhoenix,Urban Sustainability and Greening Program,Grant,Supporting urban sustainability projects to enhance environmental awareness and livability in Phoenix.,Elena Lopez,Sustainability Director,602-159-8648,elena.lopez@pgi.org,"$260,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
